answer,question
Force,"In physics, force is a push or a pull that changes or tends to change the state of rest or uniform motion of an object or changes the direction or shape of an object. Force causes objects to accelerate, add to the object's overall pressure, change direction, or change shape. Force is measured in Newtons. (N)."
Fluorine,"Fluorine (symbol F) is a chemical element that is very poisonous.  Its atomic number (which is the number of protons in it) is 9, and its atomic mass is 19. It is part of the Group 7 (halogens) on the periodic table of elements."
Granite,"Granite is a kind of igneous rock, found on Earth but nowhere else in the Solar System. It is formed from hot, molten magma. Its colour ranges from pink to grey, according to the proportions of its minerals."
5 (number),"The number five is a number that comes after four and before the number six. In Roman numerals, it is V."
Demand,"Demand is the total amount of goods or services which people want to buy, for a set price. The demand for an item indicates how much it is needed or wanted. This is important in economics, because the law of supply and demand will decide the price at which something will be bought and sold."
Retina,The retina is the thin layer of cells that lines the back of the eyeball in humans and in many animals. It is made mainly of neurons and its role is to sense the light which gets into the eye and send information about it to the brain.
Nickel,Nickel (chemical symbol Ni) is a chemical element. It has an atomic number of 28 and an atomic mass of about 58.69amu. It has 28 protons. It is a transition metal.
Magnetic monopole,"A magnetic monopole is a hypothetical particle in particle physics that is a magnet with only one magnetic pole (a north pole without a south pole or the other way around). Scientists are interested in this, as they are predicted in several particle theories, such as grand unified and superstring. Magnetism in normal bar magnets and electromagnets does not come from magnetic monopoles. There is not enough evidence to even be sure that magnetic monopoles exist in this universe."
Transcription (genetics),Transcription is when RNA is made from DNA. The information is copied from one molecule to the other. The DNA sequence is copied by a special enzyme called RNA polymerase to make a matching RNA strand.
Ernest Rutherford,"Ernest Rutherford, 1st Baron Rutherford of Nelson, OM, PC, FRS (30 August 1871 – 19 October 1937) was a New Zealand scientist, who won the Nobel Prize in Chemistry in 1908, for his work on nuclear physics, and for the theory of the structure of the atom."
Ethanol,"Ethanol, also known as ethyl alcohol or grain alcohol, is a flammable, colorless chemical compound. Drinks with 0.5% or more ethanol are called alcoholic. When people talk about it, they often name it simply as alcohol. Its chemical formula is C2H5OH, also written as C2H6O. It is used as a solvent because it can dissolve many other chemicals and is not very toxic."
Amino acid,Amino acids are the building blocks of proteins.
Brownian motion,Brownian motion is the random motion of particles in a liquid or a gas. The motion is caused by fast-moving atoms or molecules that hit the particles.
0 (number),{{Infobox number
Jurassic,"The Jurassic is the second geological period in the Mesozoic that began 201.3 million years ago, and ended at 145 million years ago. Before it was the Triassic. It was followed by the Cretaceous."
Cartilage,"Cartilage is a flexible connective tissue found in many parts of the body. It can bend a bit, but resists stretching."
